Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
"His first military command was the 9th Reconnaissance Wing (9 RW) at Beale AFB, California, from May 1999 to September 2000.","Beale AFB <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,,,,,,,,,,,,,,,,,
"Born in Los Angeles, California, he graduated from St. Bernard High School, Playa del Rey, California, in 1972.","Los Angeles <b><font color=""red"">isPartOf</font></b> California","Playa del Rey <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,"California <b><font color=""red"">largestCity</font></b> Los Angeles",,,,,,,,,"St. Bernard High School <b><font color=""red"">city</font></b> Los Angeles","Playa del Rey <b><font color=""red"">isPartOf</font></b> Los Angeles","Los Angeles <b><font color=""red"">isPartOf</font></b> California","California <b><font color=""red"">largestCity</font></b> Los Angeles","St. Bernard High School <b><font color=""red"">state</font></b> California","Playa del Rey <b><font color=""red"">isPartOf</font></b> California","St. Bernard High School <b><font color=""red"">state</font></b> California"
"Brown flew aboard Space Shuttle Columbia on STS-107, logging 15 days, 22 hours, and 20 minutes in space from January 16 to February 1, 2003.","Space Shuttle Columbia <b><font color=""red"">lastFlight</font></b> STS-107",,,,,,,,,,,"Space Shuttle Columbia <b><font color=""red"">type</font></b> space",,,,,,,,,,,,,,,
"Selected by NASA in April 1996, Brown reported to the Johnson Space Center in August 1996.","the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, the 1986 recipient of the Navy Operational Flight Surgeon of the Year award, received numerous decorations including: The symbol indicates a posthumous award.","1986 <b><font color=""red"">type</font></b> Year",,,,,,,,,,,"decorations <b><font color=""red"">subClassOf</font></b> award",,,,,,,,,,,,,,,
"He died on his first spaceflight, when the Space Shuttle Columbia (STS-107) disintegrated during orbital reentry into the Earth's atmosphere.","the Space Shuttle Columbia <b><font color=""red"">lastFlight</font></b> STS-107",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-54 (January 1319, 1993) launched and landed at the Kennedy Space Center in Florida.","STS-54 <b><font color=""red"">landingSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-54 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,
"On his first flight, Runco served on the crew of STS-44 aboard the Space Shuttle Atlantis which launched on the night of November 24, 1991.","Runco <b><font color=""red"">mission</font></b> STS-44",,,,,,,,,,,"STS-44 <b><font color=""red"">crew5Up</font></b> Runco",,,,,,,,,"STS-44 <b><font color=""red"">crewMembers</font></b> Runco",,,,,,
"Selected by NASA as an astronaut candidate in June 1987, Runco qualified for assignment as an astronaut mission specialist in August 1988.","Runco <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Runco <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Runco <b><font color=""red"">type</font></b> astronaut",,,,,,
"Raised in the Highbridge section of the Bronx near Yankee Stadium, his family moved to Yonkers, New York in his early teen years.","Yankee Stadium <b><font color=""red"">location</font></b> the Bronx",,,,,,,,,,,"the Bronx <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,"Yankee Stadium <b><font color=""red"">location</font></b> New York","Yonkers <b><font color=""red"">isPartOf</font></b> New York",,,,,
"Mario was born in the Bronx, New York on January 26, 1952.","Bronx <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mario Runco, Jr. (born January 26, 1952), is a former United States Navy officer and NASA astronaut.","Mario Runco <b><font color=""red"">rank</font></b> United States Navy",,,,,,,,,,,"Mario Runco <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Mario Runco <b><font color=""red"">type</font></b> astronaut",,,,,,
He was the prime operator for berthing the HTV-2 to the ISS after the free-flying vehicle was captured by NASA astronaut Catherine Coleman.,"Catherine Coleman <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Catherine Coleman <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"During STS-120, he participated in the Esperia mission for the European Space Agency.","STS-120 <b><font color=""red"">agency6Up</font></b> the European Space Agency",,,,,,,,,,,,,,,,,,,,,,,,,,
"On July 11, 2007, Horowitz announced his intent to leave NASA effective October 1, 2007.","Horowitz <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
NASA Administrator Michael D. Griffin invited Horowitz back to NASA as an associate administrator so he could lead the effort to develop this hardware.,"Horowitz <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
His ideas were crucial to the development of the mission hardware NASA has adopted for the Vision for Space Exploration.,"mission <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"During his interim away from NASA, Horowitz held a senior executive position with ATK Thiokol, the makers of the Space Shuttle solid rocket boosters.","Horowitz <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Horowitz retired from the United States Air Force and NASA in October, 2004.","Horowitz <b><font color=""red"">rank</font></b> the United States Air Force",,,,,,,,,,,"Horowitz <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,
"Horowitz was selected as an astronaut candidate by NASA in 1992, and piloted missions STS-75 (1996), STS-82 (1997) and STS-101 (2000).","Horowitz <b><font color=""red"">type</font></b> astronaut","STS-82 <b><font color=""red"">crew2Up</font></b> Horowitz","STS-82 <b><font color=""red"">crewMembers</font></b> Horowitz","Horowitz <b><font color=""red"">mission</font></b> STS-101","STS-101 <b><font color=""red"">crew2Up</font></b> Horowitz","STS-101 <b><font color=""red"">crewMembers</font></b> Horowitz",,,,,,"Horowitz <b><font color=""red"">type</font></b> NASA",,,,,,,,,"STS-75 <b><font color=""red"">operator</font></b> NASA","STS-82 <b><font color=""red"">operator</font></b> NASA","STS-101 <b><font color=""red"">operator</font></b> NASA","Horowitz <b><font color=""red"">mission</font></b> STS-75","STS-75 <b><font color=""red"">crew2Up</font></b> Horowitz","STS-75 <b><font color=""red"">crewMembers</font></b> Horowitz","Horowitz <b><font color=""red"">mission</font></b> STS-82"
"In 2001, Guidoni participated in the Space Shuttle's STS-100 mission, being the first European on board International Space Station (ISS).","International Space Station <b><font color=""red"">type</font></b> the Space",,,,,,,,,,,"International Space Station <b><font color=""red"">type</font></b> the Space",,,,,,,,,"Guidoni <b><font color=""red"">mission</font></b> STS-100","STS-100 <b><font color=""red"">crewMembers</font></b> Guidoni","STS-100 <b><font color=""red"">crew6Up</font></b> Guidoni",,,,
"Umberto Guidoni (born in Rome 18 August 1954) is an Italian astrophysicist, science writer and a former ESA astronaut.","Umberto Guidoni <b><font color=""red"">birthPlace</font></b> Rome",,,,,,,,,,,"Italian <b><font color=""red"">capital</font></b> Rome",,,,,,,,,"Umberto Guidoni <b><font color=""red"">birthPlace</font></b> Italian","Umberto Guidoni <b><font color=""red"">nationality</font></b> Italian","Umberto Guidoni <b><font color=""red"">occupation</font></b> astrophysicist","Umberto Guidoni <b><font color=""red"">type</font></b> astronaut",,,
"Noguchi voices himself in episode 13 and 26 of the anime series, Uch? Ky?dai, which aired on June 24, 2012 and September 29, 2012 respectively.","June <b><font color=""red"">occupation</font></b> voices",,,,,,,,,,,,,,,,,,,,,,,,,,
He served as a primary crew member (as Flight Engineer) of Expedition 22 and Expedition 23.,"Expedition 22 <b><font color=""red"">nextMission</font></b> Expedition 23",,,,,,,,,,,"Expedition 23 <b><font color=""red"">previousMission</font></b> Expedition 22",,,,,,,,,,,,,,,
"Noguchi flew to the ISS on Soyuz TMA-17 on December 20, 2009.","Noguchi <b><font color=""red"">mission</font></b> Soyuz TMA-17",,,,,,,,,,,"Soyuz TMA-17 <b><font color=""red"">crew3Up</font></b> Noguchi",,,,,,,,,"Soyuz TMA-17 <b><font color=""red"">crewMembers</font></b> Noguchi",,,,,,
"Noguchi qualified as a mission specialist after two years, and received training on Russian space systems at Gagarin Cosmonaut Training Center in 1998.","1998 <b><font color=""red"">type</font></b> two years",,,,,,,,,,,,,,,,,,,,,,,,,,
"In August 1996, he reported to NASA's Johnson Space Center for NASA astronaut training.","Center <b><font color=""red"">parentAgency</font></b> Space",,,,,,,,,,,"Center <b><font color=""red"">parentAgency</font></b> Space",,,,,,,,,"Center <b><font color=""red"">parentAgency</font></b> Space",,,,,,
Noguchi was selected as an astronaut candidate by the National Space Development Agency of Japan (now part of JAXA) in June 1996.,"Noguchi <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Noguchi <b><font color=""red"">birthPlace</font></b> Japan",,,,,,,,,"Noguchi <b><font color=""red"">nationality</font></b> Japan",,,,,,
"Soichi Noguchi was born in 1965 in Yokohama, Kanagawa, Japan.","Soichi Noguchi <b><font color=""red"">birthPlace</font></b> Yokohama",,,,,,,,,,,,,,,,,,,,,,,,,,
"[[Soichi Noguchi|Soichi_Noguchi]] (?? ??, Noguchi S?ichi, born 15 April 1965 in Yokohama, Japan) is a Japanese aeronautical engineer and a JAXA astronaut.","Noguchi <b><font color=""red"">birthPlace</font></b> Japanese",,,,,,,,,,,"Noguchi <b><font color=""red"">nationality</font></b> Japanese",,,,,,,,,"Noguchi <b><font color=""red"">type</font></b> JAXA","Noguchi <b><font color=""red"">type</font></b> astronaut",,,,,
Aleksandr Stepanovich Viktorenko (????????? ?????????? ??????????) is a Soviet cosmonaut.,"Aleksandr Stepanovich Viktorenko <b><font color=""red"">nationality</font></b> Soviet",,,,,,,,,,,,,,,,,,,,,,,,,,
"At 13:25 UTC, he and Skripochka ventured into space outside the ISS from the Pirs airlock to conduct Russian EVA #26.","he and Skripochka <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"he and Skripochka <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,,,,,
"On 15 November 2010, Yurchikhin participated in a spacewalk with fellow Russian cosmonaut and Expedition 25 Flight Engineer Oleg Skripochka.","Yurchikhin <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,"Oleg Skripochka <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,"Oleg Skripochka <b><font color=""red"">nationality</font></b> Russian","Yurchikhin <b><font color=""red"">mission</font></b> Expedition 25","Expedition 25 <b><font color=""red"">crewMembers</font></b> Yurchikhin","Expedition 25 <b><font color=""red"">crewMembers</font></b> Oleg Skripochka","Oleg Skripochka <b><font color=""red"">mission</font></b> Expedition 25",,
"On 26 July 2010, Yurchikhin and fellow Russian cosmonaut Mikhail Korniyenko performed a spacewalk outside the space station.","Yurchikhin <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,"Mikhail Korniyenko <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,"Mikhail Korniyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,
"On 23 July 2007, Yurchikhin participated in his third spacewalk along with NASA astronaut Clayton Anderson.","Clayton Anderson <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Yurchikhin <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Clayton Anderson <b><font color=""red"">type</font></b> astronaut",,,,,,
"He served as Flight Engineer for Expedition 36, and as ISS Commander for Expedition 37.","Expedition 36 <b><font color=""red"">nextMission</font></b> Expedition 37",,,,,,,,,,,"Expedition 37 <b><font color=""red"">previousMission</font></b> Expedition 36",,,,,,,,,,,,,,,
"On 26 July 2010, Yurchikhin and fellow Russian cosmonaut Mikhail Korniyenko performed a spacewalk outside the space station.","Yurchikhin <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,"Mikhail Korniyenko <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,"Mikhail Korniyenko <b><font color=""red"">nationality</font></b> Russian",,,,,,
"On June 16, 2010, Yurchikhin along with NASA astronauts Douglas Wheelock and Shannon Walker lifted off aboard the Soyuz TMA-19 spacecraft from the Baikonur Cosmodrome.","Douglas Wheelock <b><font color=""red"">type</font></b> NASA","Soyuz TMA-19 <b><font color=""red"">crewMembers</font></b> Douglas Wheelock","Shannon Walker <b><font color=""red"">mission</font></b> Soyuz TMA-19","Soyuz TMA-19 <b><font color=""red"">crew2Up</font></b> Shannon Walker","Soyuz TMA-19 <b><font color=""red"">crewMembers</font></b> Shannon Walker","Soyuz TMA-19 <b><font color=""red"">crew1Up</font></b> Yurchikhin","Soyuz TMA-19 <b><font color=""red"">crewMembers</font></b> Yurchikhin","Soyuz TMA-19 <b><font color=""red"">launchSite</font></b> the Baikonur Cosmodrome",,,,"Shannon Walker <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Soyuz TMA-19 <b><font color=""red"">agency3Up</font></b> NASA","Soyuz TMA-19 <b><font color=""red"">agency2Up</font></b> NASA","Yurchikhin <b><font color=""red"">type</font></b> astronauts","Douglas Wheelock <b><font color=""red"">type</font></b> astronauts","Shannon Walker <b><font color=""red"">type</font></b> astronauts","Douglas Wheelock <b><font color=""red"">mission</font></b> Soyuz TMA-19","Soyuz TMA-19 <b><font color=""red"">crew3Up</font></b> Douglas Wheelock"
Yurchikhin was a crewmember of the International Space Station assembly mission STS-112 conducted using Space ShuttleAtlantis.,"Yurchikhin <b><font color=""red"">mission</font></b> STS-112",,,,,,,,,,,,,,,,,,,,,,,,,,
"After graduating from the S. Ordzhonikidze Moscow Aviation Institute, Yurchikhin worked at the Russian Space Corporation Energia from September 1983 until August 1997.","Yurchikhin <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Energia <b><font color=""red"">countryOrigin</font></b> Russian",,,,,,,,,,,,,,,
"In 2001, he graduated from the Moscow Service State University with a Ph.D. in economics.","Moscow <b><font color=""red"">type</font></b> State University",,,,,,,,,,,,,,,,,,,,,,,,,,
"He served as Soyuz Commander for his fourth mission aboard Soyuz TMA-09M, as Flight Engineer for Expedition 36 and ISS Commander for Expedition 37.","Soyuz <b><font color=""red"">expedition1Up</font></b> Expedition 36","Soyuz <b><font color=""red"">expedition3Up</font></b> Expedition 36","Expedition 36 <b><font color=""red"">arrivalCraft</font></b> Soyuz","Expedition 36 <b><font color=""red"">departureCraft</font></b> Soyuz","Expedition 37 <b><font color=""red"">arrivalCraft</font></b> Soyuz","Expedition 37 <b><font color=""red"">departureCraft</font></b> Soyuz","Expedition 36 <b><font color=""red"">nextMission</font></b> Expedition 37","Expedition 37 <b><font color=""red"">previousMission</font></b> Expedition 36",,,,"Soyuz <b><font color=""red"">expedition2Up</font></b> Expedition 36",,,,,,,,,"Soyuz <b><font color=""red"">expedition3Up</font></b> Expedition 36","Expedition 36 <b><font color=""red"">arrivalCraft</font></b> Soyuz","Expedition 36 <b><font color=""red"">departureCraft</font></b> Soyuz","Expedition 37 <b><font color=""red"">arrivalCraft</font></b> Soyuz","Expedition 37 <b><font color=""red"">departureCraft</font></b> Soyuz","Soyuz <b><font color=""red"">expedition1Up</font></b> Expedition 36","Soyuz <b><font color=""red"">expedition2Up</font></b> Expedition 36"
"Completed in 256 orbits, STS-90 landed at Kennedy Space Center, Florida, on May 3, 1998.","STS-90 <b><font color=""red"">landingSite</font></b> Kennedy Space Center",,,,,,,,,,,"STS-90 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,,,,,
STS-90 was the last and most complex of the twenty-five Spacelab missions NASA has flown.,"STS-90 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Searfoss was born on June 5, 1956, in Mount Clemens, Michigan, but considers Portsmouth, New Hampshire, to be his hometown.","Mount Clemens <b><font color=""red"">isPartOf</font></b> Michigan",,,,,,,,,,,"Portsmouth <b><font color=""red"">isPartOf</font></b> New Hampshire",,,,,,,,,,,,,,,
"Richard Alan Searfoss (born June 5, 1956) is a retired United States Air Force colonel, NASA astronaut and test pilot.","Richard Alan Searfoss <b><font color=""red"">rank</font></b> United States Air Force",,,,,,,,,,,"Richard Alan Searfoss <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Richard Alan Searfoss <b><font color=""red"">type</font></b> astronaut","Richard Alan Searfoss <b><font color=""red"">occupation</font></b> test pilot",,,,,
"STS-35 Columbia, launched from the Kennedy Space Center on December 2, 1990.","STS-35 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-26 Discovery, the first flight to be flown after the Challenger accident, launched from the Kennedy Space Center on September 29, 1988.","STS-26 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-51-I Space Shuttle Discovery, launched from Kennedy Space Center, Florida, on August 27, 1985.","STS-51-I <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"He served as a member of the launch support team at Kennedy Space Center for the STS-1, STS-2, and STS-3 missions.","the STS-1 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,"STS-2 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,"STS-3 <b><font color=""red"">launchSite</font></b> Kennedy Space Center","the STS-1 <b><font color=""red"">nextMission</font></b> STS-2","STS-2 <b><font color=""red"">previousMission</font></b> the STS-1","STS-2 <b><font color=""red"">nextMission</font></b> STS-3","STS-3 <b><font color=""red"">previousMission</font></b> STS-2",,
"Igor Volk was selected as a cosmonaut on July 30, 1980, flew as Research Cosmonaut on Soyuz T-12, the 7th expedition to Salyut 7.","Igor Volk <b><font color=""red"">type</font></b> a cosmonaut",,,,,,,,,,,"Igor Volk <b><font color=""red"">type</font></b> a cosmonaut",,,,,,,,,"Igor Volk <b><font color=""red"">mission</font></b> Soyuz","Soyuz <b><font color=""red"">crew3Up</font></b> Igor Volk","Soyuz <b><font color=""red"">crewMembers</font></b> Igor Volk",,,,
"In 1998 he became Director of Space and Communications for the Boeing Company in Moscow, Russia and the Commonwealth of Independent States.","Moscow <b><font color=""red"">country</font></b> Russia",,,,,,,,,,,"Russia <b><font color=""red"">capital</font></b> Moscow",,,,,,,,,"the Commonwealth of Independent States <b><font color=""red"">largestCity</font></b> Moscow",,,,,,
"On October 28, 1992, NASA announced that an experienced cosmonaut would fly aboard the STS-60 Space Shuttle mission.","STS-60 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,"mission <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
"He and [[his flight engineer|Flight_engineer]], Alexander Serebrov, were scheduled for a long-duration flight on board Mir 1.","Serebrov <b><font color=""red"">occupation</font></b> flight",,,,,,,,,,,"Serebrov <b><font color=""red"">occupation</font></b> flight",,,,,,,,,,,,,,,
"Titov made his first space flight on April 20, 1983, as commander of Soyuz T-8.","Soyuz T-8 <b><font color=""red"">crew1Up</font></b> Titov",,,,,,,,,,,"Soyuz T-8 <b><font color=""red"">crewMembers</font></b> Titov",,,,,,,,,,,,,,,
"Titov was selected as a cosmonaut in 1976, and in September 1981 was paired with Gennady Strekalov.","Titov <b><font color=""red"">type</font></b> a cosmonaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"He is married to the former Alexandra Kozlova of Ivanovo Region, Russia.","Kozlova <b><font color=""red"">birthPlace</font></b> Russia",,,,,,,,,,,"Ivanovo Region <b><font color=""red"">country</font></b> Russia",,,,,,,,,,,,,,,
"During STS-111, he performed three spacewalks with Philippe Perrin as part of the construction of the International Space Station.","STS-111 <b><font color=""red"">crew3Up</font></b> Philippe Perrin",,,,,,,,,,,"STS-111 <b><font color=""red"">crewMembers</font></b> Philippe Perrin",,,,,,,,,"Philippe Perrin <b><font color=""red"">mission</font></b> STS-111",,,,,,
